creditscore,geography,gender,age,tenure,balance,numofproducts,numofproducts,isactivemember,estimatedsalary,exited
656,France,Male,45,5,127864.4,1,1,No Credit Card,87107.57,Churned
725,Germany,Male,19,0,75888.2,1,1,No Credit Card,45613.75,Churned
614,France,Male,51,4,40685.92,1,1,Has Credit Card,46775.28,Churned
742,Germany,Male,35,5,136857,1,1,No Credit Card,84509.57,Churned
687,Germany,Female,27,9,152328.88,2,2,No Credit Card,126494.82,Churned
555,Spain,Male,33,1,56084.69,2,2,No Credit Card,178798.13,Churned
684,Spain,Male,56,8,78707.16,1,1,Has Credit Card,99398.36,Churned
603,Germany,Male,26,4,109166.37,1,1,Has Credit Card,92840.67,Churned
751,Germany,Female,36,6,169831.46,2,2,Has Credit Card,27758.36,Churned
581,Germany,Female,34,1,101633.04,1,1,No Credit Card,110431.51,Churned
735,Germany,Male,43,10,123180.01,2,2,Has Credit Card,196673.28,Churned
661,Germany,Female,35,5,150725.53,2,2,Has Credit Card,113656.85,Churned
675,France,Female,21,8,98373.26,1,1,No Credit Card,18203,Churned
738,Germany,Male,58,2,133745.44,4,4,No Credit Card,28373.86,Stayed
813,France,Male,29,6,0,1,1,No Credit Card,33953.87,Churned
657,Spain,Female,37,0,163607.18,1,1,Has Credit Card,44203.55,Churned
604,Germany,Female,25,5,157780.84,2,2,Has Credit Card,58426.81,Churned
519,France,Male,36,9,0,2,2,Has Credit Card,145562.4,Churned
735,France,Female,21,1,178718.19,2,2,No Credit Card,22388,Churned
664,France,Male,55,8,0,2,2,Has Credit Card,139161.64,Churned
678,France,Female,32,9,0,1,1,Has Credit Card,148210.64,Churned
757,Spain,Male,33,5,77253.22,1,1,Has Credit Card,194239.63,Churned
416,Germany,Female,41,10,122189.66,2,2,No Credit Card,98301.61,Churned
665,France,Female,34,1,96645.54,2,2,No Credit Card,171413.66,Churned
777,France,Female,32,2,0,1,1,No Credit Card,136458.19,Stayed
543,France,Female,36,3,0,2,2,No Credit Card,26019.59,Churned
506,France,Female,34,4,90307.62,1,1,Has Credit Card,159235.29,Churned
652,Spain,Female,75,10,0,2,2,Has Credit Card,114675.75,Churned
750,Spain,Male,22,3,121681.82,1,1,No Credit Card,128643.35,Stayed
729,France,Male,30,9,0,2,2,No Credit Card,151869.35,Churned
646,France,Female,46,4,0,3,3,No Credit Card,93251.42,Stayed
635,Germany,Female,28,3,81623.67,2,2,Has Credit Card,156791.36,Churned
647,Spain,Female,44,5,0,3,3,Has Credit Card,174205.22,Stayed
808,France,Male,45,7,118626.55,2,2,No Credit Card,147132.46,Churned
524,France,Female,36,10,0,2,2,No Credit Card,109614.57,Churned
769,France,Male,29,8,0,2,2,Has Credit Card,172290.61,Churned
730,Spain,Male,42,4,0,2,2,Has Credit Card,85982.47,Churned
515,Spain,Male,35,10,176273.95,1,1,Has Credit Card,121277.78,Churned
773,Spain,Male,41,9,102827.44,1,1,Has Credit Card,64595.25,Churned
814,Germany,Male,29,8,97086.4,2,2,Has Credit Card,197276.13,Churned
710,Spain,Male,22,8,0,2,2,No Credit Card,99645.04,Churned
413,France,Male,34,9,0,2,2,No Credit Card,6534.18,Churned
665,France,Female,40,6,0,1,1,Has Credit Card,161848.03,Churned
623,France,Female,44,6,0,2,2,No Credit Card,167162.43,Churned
738,France,Male,31,9,82674.15,1,1,No Credit Card,41970.72,Churned
528,Spain,Male,36,7,0,2,2,No Credit Card,60536.56,Churned
670,Spain,Female,65,1,0,1,1,Has Credit Card,177655.68,Stayed
622,Spain,Female,46,4,107073.27,2,2,Has Credit Card,30984.59,Stayed
582,Germany,Male,32,1,88938.62,1,1,Has Credit Card,10054.53,Churned
785,Germany,Female,36,2,99806.85,1,1,Has Credit Card,36976.52,Churned
605,Spain,Male,33,5,150092.8,1,1,No Credit Card,71862.79,Churned
479,Germany,Male,35,9,92833.89,1,1,No Credit Card,99449.86,Stayed
685,Germany,Male,30,3,90536.81,1,1,Has Credit Card,63082.88,Churned
538,Germany,Male,39,7,108055.1,2,2,No Credit Card,27231.26,Churned
562,France,Male,42,2,100238.35,1,1,No Credit Card,86797.41,Churned
675,Spain,Male,36,9,106190.55,1,1,Has Credit Card,22994.32,Churned
721,Germany,Male,28,9,154475.54,2,2,Has Credit Card,101300.94,Stayed
628,Germany,Female,30,9,132351.29,2,2,Has Credit Card,74169.13,Churned
668,Germany,Female,37,6,167864.4,1,1,No Credit Card,115638.29,Churned
506,France,Female,41,1,0,2,2,No Credit Card,31766.3,Churned
524,Germany,Female,31,8,107818.63,1,1,No Credit Card,199725.39,Stayed
699,Germany,Male,34,4,185173.81,2,2,No Credit Card,120834.48,Churned
828,France,Male,34,8,129433.34,2,2,No Credit Card,38131.77,Churned
674,Spain,Male,39,6,120193.42,1,1,No Credit Card,100130.95,Churned
656,France,Female,39,6,0,2,2,No Credit Card,141069.88,Churned
684,Germany,Female,48,10,126384.42,1,1,Has Credit Card,198129.36,Churned
625,France,Female,28,3,0,1,1,No Credit Card,183646.41,Churned
432,France,Male,42,9,152603.45,1,1,No Credit Card,110265.24,Stayed
549,France,Female,52,1,0,1,1,Has Credit Card,8636.05,Stayed
625,Germany,Male,56,0,148507.24,1,1,No Credit Card,46824.08,Stayed
828,France,Female,41,7,0,2,2,No Credit Card,171378.77,Churned
770,France,Male,24,9,101827.07,1,1,No Credit Card,167256.35,Churned
758,France,Female,34,3,0,2,2,Has Credit Card,124226.16,Churned
795,Germany,Female,33,9,130862.43,1,1,Has Credit Card,114935.21,Churned
687,France,Male,38,9,122570.87,1,1,Has Credit Card,35608.88,Churned
686,France,Male,25,1,0,2,2,Has Credit Card,16459.37,Churned
789,Germany,Male,39,7,124828.46,2,2,Has Credit Card,124411.08,Churned
589,Germany,Female,50,5,144895.05,2,2,Has Credit Card,34941.23,Churned
461,Germany,Female,34,5,63663.93,1,1,Has Credit Card,167784.28,Churned
637,France,Male,40,2,133463.1,1,1,Has Credit Card,93165.34,Churned
584,Spain,Female,48,2,213146.2,1,1,No Credit Card,75161.25,Stayed
579,Spain,Female,35,1,129490.36,2,2,Has Credit Card,8590.83,Stayed
756,Germany,Male,44,10,137452.09,1,1,No Credit Card,189543.9,Churned
663,France,Male,34,7,0,2,2,Has Credit Card,180427.24,Churned
682,France,Female,43,5,125851.93,1,1,Has Credit Card,193318.33,Churned
793,Spain,Male,52,2,0,1,1,No Credit Card,159123.82,Stayed
691,France,Female,31,5,40915.55,1,1,No Credit Card,126213.84,Stayed
485,Spain,Female,21,5,113157.22,1,1,Has Credit Card,54141.5,Churned
635,Spain,Female,29,8,138296.94,2,2,No Credit Card,141075.51,Churned
650,France,Male,37,5,106967.18,1,1,No Credit Card,24495.03,Churned
735,France,Male,44,9,120681.63,1,1,No Credit Card,74836.34,Churned
754,Spain,Female,32,7,0,2,2,No Credit Card,89520.75,Churned
535,France,Female,48,9,0,1,1,No Credit Card,149892.79,Stayed
716,Spain,Male,42,8,0,2,2,No Credit Card,180800.42,Churned
539,France,Male,37,2,127609.59,1,1,No Credit Card,98646.22,Churned
614,France,Female,43,6,0,2,2,Has Credit Card,109041.53,Churned
706,Spain,Male,57,7,0,1,1,No Credit Card,17941.16,Stayed
758,France,Female,33,7,0,2,2,No Credit Card,82996.47,Churned
586,Spain,Female,28,2,0,2,2,Has Credit Card,92067.35,Churned
646,France,Female,73,6,97259.25,1,1,Has Credit Card,104719.66,Churned
631,Germany,Female,33,4,123246.7,1,1,No Credit Card,112687.57,Churned
717,Spain,Female,22,6,101060.25,1,1,Has Credit Card,84699.56,Churned
684,France,Male,30,2,0,2,2,No Credit Card,83473.82,Churned
800,France,Female,49,7,108007.36,1,1,No Credit Card,47125.11,Churned
721,Spain,Female,36,2,0,2,2,Has Credit Card,106977.8,Churned
683,Spain,Male,29,0,133702.89,1,1,No Credit Card,55582.54,Stayed
660,Germany,Male,31,9,125189.75,2,2,Has Credit Card,139874.43,Churned
704,Germany,Female,24,7,113034.22,1,1,No Credit Card,162503.48,Stayed
615,Spain,Female,41,9,109013.23,1,1,No Credit Card,196499.96,Churned
667,Spain,Female,39,2,0,2,2,No Credit Card,40721.24,Stayed
682,Germany,Male,24,9,57929.81,2,2,No Credit Card,53134.3,Churned
484,France,Female,29,4,130114.39,1,1,No Credit Card,164017.89,Churned
628,Germany,Male,27,5,95826.49,2,2,No Credit Card,155996.96,Churned
480,Germany,Male,44,10,129608.57,1,1,No Credit Card,5472.7,Stayed
578,France,Male,30,4,169462.09,1,1,No Credit Card,112187.11,Churned
512,France,Male,40,5,0,2,2,Has Credit Card,146457.83,Churned
484,Spain,Female,35,7,133868.21,1,1,Has Credit Card,27286.1,Churned
510,France,Female,30,0,0,2,2,Has Credit Card,130553.47,Churned
606,Germany,Male,36,5,190479.48,2,2,No Credit Card,179351.89,Churned
597,Spain,Female,40,8,101993.12,1,1,Has Credit Card,94774.12,Churned
754,Germany,Female,55,3,161608.81,1,1,No Credit Card,8080.85,Stayed
850,Spain,Female,45,2,122311.21,1,1,Has Credit Card,19482.5,Churned
510,France,Male,65,2,0,2,2,Has Credit Card,48071.61,Churned
778,Germany,Female,45,1,162150.42,2,2,No Credit Card,174531.27,Churned
636,France,Male,42,2,0,2,2,Has Credit Card,55470.78,Churned
804,France,Female,50,4,0,1,1,Has Credit Card,8546.87,Stayed
514,France,Male,32,8,0,2,2,No Credit Card,95857.18,Churned
730,France,Female,39,1,99010.67,1,1,No Credit Card,194945.8,Churned
525,Spain,Female,37,0,0,1,1,Has Credit Card,131521.72,Churned
616,Spain,Male,30,5,0,2,2,Has Credit Card,196108.51,Churned
687,Germany,Female,34,7,111388.18,2,2,No Credit Card,148564.76,Churned
715,France,Female,41,8,56214.85,2,2,No Credit Card,92982.61,Stayed
512,France,Female,36,3,84327.77,2,2,No Credit Card,17675.36,Churned
479,France,Male,40,1,0,2,2,No Credit Card,114996.43,Churned
601,France,Male,32,8,93012.89,1,1,No Credit Card,86957.42,Churned
580,Spain,Male,29,9,61710.44,2,2,No Credit Card,128077.8,Churned
616,Spain,Female,32,6,0,2,2,Has Credit Card,43001.46,Churned
721,Germany,Male,37,3,107720.64,1,1,Has Credit Card,158591.12,Churned
501,France,Male,57,10,0,2,2,Has Credit Card,47847.19,Churned
521,France,Male,35,6,96423.84,1,1,No Credit Card,10488.44,Churned
850,Spain,Male,30,2,141040.01,1,1,Has Credit Card,5978.2,Churned
759,France,Male,42,4,105420.18,1,1,Has Credit Card,121409.06,Churned
516,Spain,Male,50,5,0,1,1,Has Credit Card,146145.93,Stayed
711,France,Female,38,2,129022.06,2,2,Has Credit Card,14374.86,Stayed
512,Spain,Male,33,3,176666.62,1,1,No Credit Card,94670.77,Churned
550,France,Male,37,3,0,1,1,Has Credit Card,179670.31,Churned
608,Spain,Female,41,3,89763.84,1,1,No Credit Card,199304.74,Stayed
618,France,Male,34,5,134954.53,1,1,Has Credit Card,151954.39,Churned
643,France,Male,45,5,0,1,1,No Credit Card,142513.5,Stayed
671,France,Male,45,2,106376.85,1,1,Has Credit Card,158264.62,Churned
689,Germany,Male,33,2,161814.64,2,2,No Credit Card,169381.9,Churned
603,France,Male,31,8,0,2,2,Has Credit Card,169915.02,Churned
620,France,Female,41,9,0,2,2,No Credit Card,88852.47,Churned
676,France,Female,34,1,63095.01,1,1,Has Credit Card,40645.81,Churned
572,Germany,Male,26,4,118287.01,2,2,No Credit Card,60427.3,Churned
668,Germany,Male,47,7,106854.21,1,1,Has Credit Card,157959.02,Stayed
695,France,Male,46,7,49512.55,1,1,No Credit Card,133007.34,Churned
730,Spain,Female,33,9,0,2,2,No Credit Card,176576.62,Churned
807,France,Male,43,1,105799.32,2,2,No Credit Card,34888.04,Stayed
592,France,Male,54,8,0,1,1,Has Credit Card,28737.71,Stayed
726,France,Female,31,9,114722.05,2,2,Has Credit Card,98178.57,Churned
514,Spain,Male,30,7,0,1,1,Has Credit Card,125010.24,Churned
567,France,Male,42,2,0,2,2,Has Credit Card,167984.61,Churned
850,France,Male,33,10,0,1,1,No Credit Card,4861.72,Stayed
671,Germany,Male,45,6,99564.22,1,1,Has Credit Card,108872.45,Stayed
670,France,Male,37,4,170557.91,2,2,No Credit Card,198252.88,Churned
694,France,Female,30,9,0,2,2,Has Credit Card,26960.31,Churned
547,Germany,Female,39,6,74596.15,3,3,Has Credit Card,85746.52,Stayed
751,Germany,Male,50,2,96888.39,1,1,No Credit Card,77206.25,Stayed
594,Germany,Female,29,3,130830.22,1,1,No Credit Card,61048.53,Churned
673,France,Male,72,1,0,2,2,Has Credit Card,111981.19,Churned
610,France,Male,40,0,0,2,2,No Credit Card,62232.6,Churned
512,France,Female,37,1,0,2,2,Has Credit Card,156105.03,Churned
767,Germany,Male,20,3,119714.25,2,2,Has Credit Card,150135.38,Churned
585,France,Female,67,5,113978.97,2,2,Has Credit Card,93146.11,Churned
763,Germany,Male,42,6,100160.75,1,1,No Credit Card,33462.94,Stayed
712,France,Female,29,2,0,1,1,Has Credit Card,144375,Churned
539,Germany,Female,43,3,116220.5,3,3,No Credit Card,55803.96,Stayed
668,France,Female,46,2,0,3,3,No Credit Card,89048.46,Stayed
703,France,Male,28,2,81173.83,2,2,Has Credit Card,162812.16,Churned
662,Spain,Male,38,4,0,2,2,No Credit Card,136259.65,Churned
725,Germany,Female,39,5,116803.8,1,1,No Credit Card,124052.97,Churned
703,France,Male,37,8,105961.68,2,2,Has Credit Card,74158.8,Churned
659,Germany,Male,67,6,117411.6,1,1,Has Credit Card,45071.09,Stayed
523,Spain,Male,34,7,0,2,2,No Credit Card,62030.06,Churned
635,France,Female,40,10,123497.58,1,1,No Credit Card,131953.23,Stayed
772,Germany,Male,26,7,152400.51,2,2,No Credit Card,79414,Churned
545,France,Female,26,1,0,2,2,Has Credit Card,199638.56,Churned
634,Germany,Male,24,8,103097.85,1,1,Has Credit Card,157577.29,Churned
739,Germany,Male,54,8,126418.14,1,1,No Credit Card,134420.75,Stayed
771,Germany,Female,36,5,77846.9,1,1,No Credit Card,99805.99,Churned
587,Spain,Female,34,1,0,2,2,Has Credit Card,97932.68,Churned
681,France,Female,79,0,0,2,2,Has Credit Card,170968.99,Churned
544,Germany,Male,37,2,79731.91,1,1,Has Credit Card,57558.95,Churned
696,Spain,Male,28,8,0,1,1,No Credit Card,176713.47,Churned
766,Spain,Male,41,0,0,2,2,Has Credit Card,34283.23,Churned
727,France,Male,34,10,0,2,2,Has Credit Card,198637.34,Churned
671,Germany,Female,34,6,37266.67,2,2,No Credit Card,156917.12,Churned
693,France,Female,30,6,127992.25,1,1,Has Credit Card,50457.2,Churned
850,Germany,Male,38,3,54901.01,1,1,Has Credit Card,140075.55,Churned
732,Germany,Male,42,9,108748.08,2,2,Has Credit Card,65323.11,Churned
726,Spain,Female,48,6,99906.19,1,1,No Credit Card,64323.24,Churned
557,France,Female,32,6,184686.41,2,2,No Credit Card,14956.44,Churned
682,France,Female,26,0,110654.02,1,1,Has Credit Card,111879.21,Churned
738,Spain,Male,31,9,79019.8,1,1,Has Credit Card,18606.23,Churned
531,Spain,Female,36,9,99240.51,1,1,No Credit Card,123137.01,Churned
498,France,Male,34,2,0,2,2,Has Credit Card,148528.24,Churned
651,France,Male,36,7,0,2,2,No Credit Card,13898.31,Churned
549,Spain,Female,39,7,0,1,1,No Credit Card,81259.25,Stayed
791,Germany,Female,35,7,52436.2,1,1,No Credit Card,161051.75,Churned
650,Spain,Male,41,9,0,2,2,Has Credit Card,191599.67,Churned
733,Germany,Male,34,3,100337.96,3,3,No Credit Card,48559.19,Stayed
811,Germany,Female,34,1,149297.19,2,2,Has Credit Card,186339.74,Churned
707,France,Male,30,8,0,2,2,No Credit Card,33159.37,Churned
712,Germany,Male,28,4,145605.44,1,1,Has Credit Card,93883.53,Churned
706,Spain,Female,37,7,0,2,2,Has Credit Card,110899.3,Churned
756,France,Male,62,3,0,1,1,Has Credit Card,11199.04,Stayed
777,France,Female,53,10,0,2,2,No Credit Card,189992.97,Churned
646,France,Male,35,6,84026.86,1,1,Has Credit Card,164255.69,Churned
714,France,Male,46,1,0,1,1,No Credit Card,152167.79,Stayed
782,France,Male,39,8,0,2,2,Has Credit Card,33949.67,Churned
775,Spain,Male,29,10,0,2,2,Has Credit Card,68143.93,Churned
479,Germany,Male,35,4,138718.92,1,1,Has Credit Card,47251.79,Stayed
807,France,Male,42,7,118274.71,1,1,Has Credit Card,25885.72,Churned
799,France,Female,22,8,174185.98,2,2,Has Credit Card,192633.85,Churned
675,France,Male,40,7,113208.86,2,2,No Credit Card,34577.36,Churned
602,Spain,Male,29,5,103907.28,1,1,No Credit Card,161229.84,Churned
475,France,Female,32,8,119023.28,1,1,No Credit Card,100816.29,Churned
744,Spain,Female,26,5,166297.89,1,1,Has Credit Card,181694.44,Churned
588,Spain,Male,34,10,0,2,2,No Credit Card,79078.91,Churned
703,Germany,Male,42,9,63227,1,1,Has Credit Card,137316.32,Churned
747,Spain,Female,41,5,94521.17,2,2,No Credit Card,194926.86,Churned
583,France,Male,27,7,0,2,2,No Credit Card,51285.49,Churned
750,Spain,Female,34,9,112822.26,1,1,No Credit Card,150401.53,Stayed
681,France,Male,38,3,0,2,2,Has Credit Card,112491.96,Churned
773,France,Male,25,2,135903.33,1,1,No Credit Card,73656.38,Churned
714,France,Female,31,4,125169.26,1,1,Has Credit Card,106636.89,Churned
687,Spain,Female,44,7,0,3,3,No Credit Card,155853.52,Stayed
511,France,Male,58,0,149117.31,1,1,Has Credit Card,162599.51,Churned
627,France,Male,33,5,0,2,2,Has Credit Card,103737.82,Churned
694,France,Female,31,10,0,2,2,No Credit Card,160990.27,Churned
616,Spain,Female,36,6,132311.71,1,1,No Credit Card,15462.84,Churned
687,France,Male,35,8,0,2,2,No Credit Card,10334.05,Churned
712,France,Female,33,6,0,2,2,Has Credit Card,190686.16,Churned
553,France,Male,33,4,118082.89,1,1,No Credit Card,94440.45,Churned
667,France,Male,31,1,119266.69,1,1,Has Credit Card,28257.63,Churned
731,France,Male,43,2,0,1,1,Has Credit Card,170034.95,Stayed
629,Germany,Male,35,7,156847.29,2,2,No Credit Card,31824.29,Churned
614,France,Male,50,4,137104.47,1,1,No Credit Card,127166.49,Stayed
438,Germany,Male,31,8,78398.69,1,1,No Credit Card,44937.01,Churned
652,France,Female,80,4,0,2,2,Has Credit Card,188603.07,Churned
729,Germany,Male,30,6,63669.42,1,1,No Credit Card,145111.37,Churned
642,France,Male,38,3,0,2,2,No Credit Card,171463.83,Churned
806,Germany,Female,59,0,135296.33,1,1,No Credit Card,182822.5,Churned
744,Spain,Male,36,2,153804.44,1,1,Has Credit Card,87213.33,Churned
474,Spain,Male,37,3,0,2,2,No Credit Card,57175.32,Churned
559,France,Male,49,2,147069.78,1,1,No Credit Card,120540.83,Stayed
706,Spain,Male,42,9,0,2,2,Has Credit Card,28714.34,Churned
628,Spain,Female,22,3,0,1,1,No Credit Card,85426.28,Churned
429,France,Male,24,4,95741.75,1,1,No Credit Card,46170.75,Churned
525,Spain,Female,57,2,145965.33,1,1,Has Credit Card,64448.36,Churned
680,France,Female,30,8,141441.75,1,1,Has Credit Card,16278.97,Churned
749,France,Male,40,1,139290.41,1,1,No Credit Card,182855.42,Stayed
763,France,Female,31,4,0,2,2,No Credit Card,50404.72,Churned
734,France,Male,30,3,0,2,2,No Credit Card,107640.25,Churned
716,France,Male,35,4,144428.87,1,1,No Credit Card,134132.65,Churned
594,France,Male,35,2,0,2,2,No Credit Card,103480.69,Churned
644,France,Female,46,9,95441.27,1,1,No Credit Card,108761.05,Stayed
671,Germany,Male,35,1,144848.74,1,1,Has Credit Card,179012.3,Churned
664,Germany,Male,26,7,116244.14,2,2,Has Credit Card,95145.14,Churned
656,France,Male,50,7,0,2,2,Has Credit Card,72143.44,Churned
667,Spain,Female,40,1,146502.07,1,1,No Credit Card,19162.89,Churned
663,Germany,Male,44,2,117028.6,2,2,Has Credit Card,144680.18,Churned
584,Germany,Female,30,8,112013.81,1,1,No Credit Card,177772.03,Stayed
626,Spain,Female,37,6,108269.37,1,1,No Credit Card,5597.94,Churned
485,France,Male,29,7,182123.79,1,1,No Credit Card,116828.51,Stayed
659,Germany,Female,32,3,150923.74,2,2,Has Credit Card,174652.51,Churned
805,Spain,Female,39,5,165272.13,1,1,No Credit Card,14109.85,Stayed
716,Germany,Female,39,10,115301.31,1,1,No Credit Card,43527.4,Stayed
642,Germany,Female,40,6,129502.49,2,2,Has Credit Card,86099.23,Stayed
659,France,Male,31,4,118342.26,1,1,No Credit Card,161574.19,Churned
545,Spain,Female,47,5,0,2,2,Has Credit Card,38970.14,Churned
543,France,Male,22,8,0,2,2,No Credit Card,127587.22,Churned
718,France,Female,25,7,0,2,2,No Credit Card,30380.12,Churned
840,France,Female,43,7,0,2,2,No Credit Card,90908.95,Churned
630,Germany,Female,34,9,106937.05,2,2,No Credit Card,138275.01,Churned
643,Germany,Male,59,3,170331.37,1,1,Has Credit Card,32171.79,Churned
654,Germany,Female,32,1,114510.85,1,1,Has Credit Card,126143.23,Churned
582,France,Male,39,5,0,2,2,Has Credit Card,129892.93,Churned
659,Spain,Male,32,3,107594.11,2,2,Has Credit Card,102416.84,Churned
762,Spain,Male,39,2,81273.13,1,1,Has Credit Card,18719.67,Churned
568,Spain,Female,32,7,169399.6,1,1,No Credit Card,61936.22,Churned
670,Spain,Male,25,6,0,2,2,Has Credit Card,78358.94,Churned
613,France,Female,45,1,187841.99,2,2,Has Credit Card,147224.27,Churned
539,France,Male,30,0,0,2,2,No Credit Card,160979.66,Churned
850,Spain,Female,57,8,126776.3,2,2,Has Credit Card,132298.49,Churned
522,Spain,Male,34,9,126436.29,1,1,No Credit Card,174248.52,Stayed
737,France,Male,41,1,101960.74,1,1,Has Credit Card,123547.28,Churned
520,France,Male,58,3,0,2,2,Has Credit Card,32790.02,Churned
706,Spain,Male,28,3,0,2,2,Has Credit Card,181543.67,Churned
643,Germany,Female,45,2,150842.93,1,1,Has Credit Card,2319.96,Stayed
648,France,Female,50,9,102535.57,1,1,Has Credit Card,189543.19,Churned
443,Germany,Female,29,9,99027.61,2,2,No Credit Card,10940.4,Churned
640,France,Male,68,9,0,2,2,Has Credit Card,199493.38,Churned
628,Spain,Female,33,3,0,1,1,Has Credit Card,188193.25,Churned
540,Germany,Female,42,9,87271.41,2,2,No Credit Card,172572.64,Churned
460,Germany,Female,35,8,102742.91,2,2,Has Credit Card,189339.6,Churned
636,Germany,Male,34,2,40105.51,2,2,Has Credit Card,53512.16,Churned
593,France,Female,29,2,152265.43,1,1,No Credit Card,34004.44,Churned
801,Spain,Male,42,4,141947.67,1,1,Has Credit Card,10598.29,Churned
640,Germany,Female,75,1,106307.91,2,2,Has Credit Card,113428.77,Churned
611,Germany,Male,31,0,107884.81,2,2,Has Credit Card,183487.98,Churned
802,Germany,Male,31,1,125013.72,1,1,Has Credit Card,187658.09,Churned
717,Germany,Male,35,7,58469.37,2,2,Has Credit Card,172459.39,Churned
769,France,Female,39,8,0,1,1,Has Credit Card,21016,Churned
745,Germany,Male,45,10,117231.63,3,3,Has Credit Card,122381.02,Stayed
572,Spain,Male,35,4,152390.26,1,1,No Credit Card,128123.66,Churned
629,Spain,Female,30,2,34013.63,1,1,No Credit Card,19570.63,Churned
687,Spain,Female,39,2,0,3,3,No Credit Card,188150.6,Stayed
483,France,Female,50,9,0,2,2,Has Credit Card,111020.24,Churned
690,France,Male,36,7,101583.11,2,2,No Credit Card,123775.15,Churned
492,Germany,Female,30,10,77168.87,2,2,Has Credit Card,146700.22,Churned
709,Germany,Male,28,8,124695.72,2,2,No Credit Card,145251.35,Churned
705,Germany,Male,44,3,105934.96,1,1,No Credit Card,82463.69,Churned
560,France,Female,66,9,0,1,1,Has Credit Card,15928.49,Churned
611,Spain,Male,46,6,0,2,2,No Credit Card,45886.33,Churned
730,Spain,Male,62,2,0,2,2,Has Credit Card,186489.95,Churned
